0,ling4
budget,bat1 zet4
budget,bat1 zik4
buffet,pou6 fei1
buffet,bou6 fei1
bug,bak1
build,biu1
B仔,bi1 zai2
B型肝炎,bi1 jing4 gon1 jim4
B型血,bi1 jing4 hyut3
B女,bi1 neoi2
B細胞,bi1 sai3 baau1
B肝,bi1 gon1
B股,bi1 gu2
B超,bi1 ciu1
B面,bi1 min2
C,si1
C6,si1 luk6
C9,si1 naai1
call,ko1
call機,ko1 gei1
call輪,ko1 leon2
caltor,keu1 taa2
cal機,keu1 gei1
cam,kem1
cam man,kem1 men1
camman,kem1 men1
camp,kem1
can,ken6
can,ken2
cancer,ken1 saa2
cancer,ken6 sa1
cap,kep1
case,kei1 si2
CD,si1 di1
CD光盤,si1 di1 gwong1 pun4
CD光盤,si1 di1 gwong1 pun2
CD播放器,si1 di1 bo3 fong3 hei3
CD播放機,si1 di1 bo3 fong3 gei1
CD機,si1 di1 gei1
cert,soet1
CF卡,si1 e1 fu4 kaat1
check,cek1
chem,kem1
cheque,cek1
Ching,si1 hing1
Ching,cing1
chop,cop1
civil,si1 fou2
code,kuk1
commission,kam6 mit1 seon2
compo,kom1 po2
compo,kam1 po2
compul,kam6 pau1
con,kon1
concern,kon6 soen1
condom,kon1 dam4
contact,kon1 tek4
copy,kop1 pi4
copy,kap1 pi4
counter,kaan1 taa2
counter,kaang1 taa2
coupon,kiu1 pon4
course,ko1 si2
CP,si1 pi1
CP值,si1 pi1 zik6
cream,kwim1
cred,kwet1
curve,koe1 fu4
C位,si1 wai2
C型肝炎,si1 jing4 gon1 jim4
C端,si1 dyun1
C調,si1 diu6
data,dei1 taa4
dee,di4
dee,di2
dee dee,di4 di2
dinner,din1 naa4
dinner,din1 naa2
DNA,di1 en1 ei1
DNA病毒,di1 en1 ei1 beng6 duk6
DNA酶,di1 en1 ei1 mui4
dog,dok1
dog,gau2
dom,dam4
dom dom,dam4 dam2
doub,dap1
double,dap1 bou4
double,dap1 bou2
DVD播放器,di1 wi1 di1 bo3 fong3 hei3
DVD機,di1 wi1 di1 gei1
D場,di1 coeng4
D日,di1 jat6
E+,ji1
econ,ji6 kon1
econ,i6 kon1
ED,i1 di1
email,ji1 meu1
email,ji1 me1 lou4
email,ji1 me1 ou4
ending,en1 ding2
Eng lit,jing1 lit1
Eng lit,ing1 lit1
engine,en1 zin2
E仔,ji1 zai2
e商務,ji1 soeng1 mou6
e商店,ji1 soeng1 dim3
e商業,ji1 soeng1 jip6
e地址,ji1 dei6 zi2
e學習,ji1 hok6 zaap6
e客票,ji1 haak3 piu3
e招聘,ji1 ziu1 ping3
e書本,ji1 syu1 bun2
E編碼,ji1 pin1 maa5
face,fei1 si2
facial,fei1 sou4
fam J,fem1 zei1
fans,fen1 si2
fan屎,fen1 si2
fashion,fe1 seon4
fax,fek1 si2
fax機,fek1 si2 gei1
feel,fiu1
final,faai1 nou2
firm,foem1
fit,fit1
foc,fou1
fol,fo1
folder,fou1 daa2
folder,fou1 daa4
follow,fo1 lou4
food nut,fut1 niu6
form,fom1
friend,fen1
friend子,fen1 zi2
G,gik1
gag,gek1
game,gem1
gas,ge1 si2
gas爐,ge1 si2 lou4
gel頭雀,zeu1 tau4 zoek2
geog,zok1 gaa2
geog,zo1 gaa2
ger,zoe4
gimmick,gim1 mik4
good,gut4
good, gut6
good, gut2
grad din,gwet1 din1
grade,gwei1
grant loan,gwaan1 lung1
grant loan,gwen1 lung1
group,gwup1
group,gup1
gym,zim1
G力,zi1 lik6
G樓,zi1 lau2
G點,zi1 dim2
H,ik1 cyu4
hall,ho1
happy corner,hep1 pi1 kon1 naa4
hea,he3
head pre,het1 pi1
heart,haat1
hehe,hi1 hi1
high dip,haai1 dip1
high tea,haai1 ti1
hihi,haai1 haai1
hon,on1
house,hau1 si2
H股,ik1 cyu4 gu2
IC,aai1 si1
idea,aai6 di1 aa4
II,aai1 aai1
in charge,in6 caa1 zyu4
intern,in1 toen2
intro,in1 cou2
iPad,aai1 pet1
iPhone,aai1 fung1
IP位址,aai1 pi1 wai6 zi2
IP地址,aai1 pi1 dei6 zi2
J,zei1
jer,zoe1
jetso,zet1 sou4
job,zop1
job,zap1
jun,zun1
kai,kaai1
kai子,kaai1 zi2
katso,kat1 sou2
keeper,kip1 paa2
key圖,ki1 tou4
killer,kiu1 laa2
killer,kiu1 laa4
KY,kei1 waai1
K仔,kei1 zai2
K他命,kei1 taa1 ming6
K房,kei1 fong2
K批,kei1 pai1
K線,kei1 sin3
K金,ke1 gam1
L,eu1
L,e1 lou4
L,eu1 lou4
laser,lei1 saa2
like,lai1 ki2
lin,lin1
link,ling1
list,li1 si2
list,lit1 si2
local,lou1 kou2
locker仔,lok1 kaa2 zai2
logo,lou1 gou2
long d,long1 di1
look,luk1
loop,lup1
Lulu,lu1 lu4
lump sum,lam1 sam1
lunch,lan1 cyu4
lunch,lan1 cyu2
M,em1
Mac機,mek1 gei1
mask,maa1 si2
MC,em1 si1
mechan,mek6 ken1
member,mem1 baa2
memo,mi1 mou2
memo紙,mi1 mou2 zi2
menu,men1 niu2
MK,em1 kei1
mon,mon1
mon貼,mon1 tip3
mood,mut1
moon,mun1
mouse,mau1 si2
mouse,maau1 si2
MP3,em1 pi1 saam1
MP3播放器,em1 pi1 saam1 bo3 fong3 hei3
MP3播放機,em1 pi1 saam1 bo3 fong3 gei1
MP4,em1 pi1 sei3
MP4,em1 pi1 fo1
MP4播放器,em1 pi1 sei3 bo3 fong3 hei3
mum mum,mam1 mam1
M字額,em1 zi6 ngaak6
M巾,em1 gan1
NG,en1 zi1
N仔,en1 zai2
N展,en1 zin2
N無人士,en1 mou4 jan4 si6
N端,en1 dyun1
N體問題,en1 tai2 man6 tai4
O,ou1
ocamp,ou1 kem1
occu,ok1 kiu2
OK鏡,ou1 kei1 geng3
OL,ou1 e1 lou4
on9,ngong6 gau1
OP,ou1 pi1
outlet,au1 let4
outlook,au1 luk1
O型腿,ou1 jing4 teoi2
O型血,ou1 jing4 hyut3
O記,ou1 gei3
P,pi1
paedi,pi6 di6
part,paat1
part-time,paak1 taai1
part-time,paat1 taai1
part-time,paak1 taam1
part-time,paat1 taam1
parti,paa1 ti2
parts,paat1 si2
party,paa1 ti4
party, paat1 ti4
pass,paa1 si2
pat,pet6
PCB板,pi1 si1 bi1 baan2
PC卡,pi1 si1 kaat1
PC機,pi1 si1 gei1
pea,pe5
percent,poe6 sen1
perm,poem1
PE衫,pi1 ji1 saam1
pharm,faam1
phy,fi1
phy chem bio,fi1 kem1 baai6
pH計,pi1 ik1 cyu4 gai3
pink波,ping1 bo1
PIN碼,pin1 maa5
PK,pi1 kei1
po,pou1
point,pon1
polo裇,pou1 lou2 seot1
portfo,pou6 fou1
PPT,pi1 pi1 ti1
PR,pi1 aau1
PR,pi1 aa1 lou4
present,pi6 sen1
printer,pin1 taa2
proba,po6 bei1
probit,po6 bit1
projector,pou6 zet1 taa2
projector,pou6 zek1 taa2
promo,pou6 mou1
psycho,saai6 ko1
put輪,put1 leon2
p值,pi1 zik6
P波,pi1 bo1
P牌,pi1 paai4
P牌仔,pi1 paai4 zai2
p進數,pi1 zeon3 sou3
Q,kiu1
quali,kwo1 li2
quali,ko1 li2
quota,kou1 taa2
quota,kou1 taa4
quota,kwou1 taa2
quota,kwou1 taa4
Q因子,kiu1 jan1 zi2
Q型流感,kiu1 jing4 lau4 gam2
Q棍,kiu1 gwan3
Q熱,kiu1 jit6
Q版,kiu1 baan2
Richard,wit1 cat4
RNA病毒,aa1 lou4 en1 ei1 beng6 duk6
RNA酶,aa1 lou4 en1 ei1 mui4
Robert,lo1 bat4
round,waang1
round,laang1
round,waan1
round,laan1
sales,seu1 si2
SD卡,e1 si4 di1 kaat1
seafood,si1 fut1
seat位,sit1 wai2
secu,sat6 kiu1
seed,sit1
sem,sem6
ser,soe1
server,soe1 faa2
set,set1
show,sou1
SIM卡,sim1 kaat1
sir,soe4
size,saai1 si2
SI制,e1 si4 aai1 zai3
SI制,e1 saai1 zai3
SI單位制,e1 si4 aai1 daan1 wai2 zai3
SI單位制,e1 saai1 daan1 wai2 zai3
so,sou4
soc,sou2
soci,sou6 si6
soon仔,sun1 zai2
sosci,sou1 saai6
source,so1 si2
souven,sou1 fan2
sub仔,sap6 zai2
super,sup1 paa4
take,tik1
talk,tok1
taste,tei1 si2
team,tim1
term,toem1
timing,taai1 ming4
timing,taai1 ming2
title,tai1 tou4
TNT當量,ti1 en1 ti1 dong1 loeng6
toilet,toi1 let4
toilet,to1 ji4 le4
tutor,tiu1 taa2
tutor,tiu1 taa4
T字路口,ti1 zi6 lou6 hau2
T恤,ti1 seot1
T恤衫,ti1 seot1 saam1
T細胞,ti1 sai3 baau1
T骨,ti1 gwat1
U,ju1
UGG靴子,ju1 zi1 zi1 hoe1 zi2
under,an1 daa2
update,ap1 dei1
U盤,ju1 pun2
U艇,ju1 teng5
V,wuk1
van,wen1
van仔,wen1 zai2
VCD機,wi1 si1 di1 gei1
V字手勢,wi1 zi6 sau2 sai3
V系,wi1 hai6
V領,wi1 leng5
wasabi,waa6 saa1 bi4
wasabi,waat6 saa1 bi4
WiFi,waai1 faai1
wifi,waai1 faai1
wifi蛋,waai1 faai1 daan2
wiki,wi1 ki2
XO醬,ik1 si4 ou1 zoeng3
XO醬,ik1 sou1 zoeng3
X光,ik1 si4 gwong1
X光片,ik1 si4 gwong1 pin2
X染色體,ik1 si4 jim5 sik1 tai2
X軸,ik1 si4 zuk6
yeah,je1
yen,jen1
YP仔,waai1 pi1 zai2
Y染色體,waai1 jim5 sik1 tai2
Y軸,waai1 zuk6
Z軸,ji6 set1 zuk6
α射線,aau1 faa4 se6 sin3
α粒子,aau1 faa4 nap1 zi2
α衰變,aau1 faa4 seoi1 bin3
β-胡蘿蔔素,bei1 taa4 wu4 lo4 baak6 sou3
Β函數,bei1 taa4 haam4 sou3
β粒子,bei1 taa4 lap1 zi2
β衰變,bei1 taa4 seoi1 bin3
δ鍵,deu1 taa4 gin6
λ點,laam1 daa4 dim2
μ子,miu1 zi2
π鍵,paai1 gin6
σ鍵,sik1 maa4 gin6
τ子,taau1 zi2
φ鍵,faai1 gin6
ㄅㄆㄇㄈ,bo1 po1 mo1 fo1
一一對應,jat1 jat1 deoi3 jing3
一丁點兒,jat1 ding1 dim2 ji4
一世,jat1 sai3
一丘之貉,jat1 jau1 zi1 hok6
一世人,jat1 sai3 jan4
一中,jat1 zung1
一中各表,jat1 zung1 gok3 biu2
一串紅,jat1 cyun3 hung4
一之為甚,jat1 zi1 wai4 sam6
一事,jat1 si6
一二,jat1 ji6
一二便,jat1 ji6 bin6
一些,jat1 se1
一人,jat1 jan4
一人樂隊,jat1 jan4 ngok6 deoi2
一介,jat1 gaai3
一代,jat1 doi6
一元,jat1 jyun4
一元論,jat1 jyun4 leon6
一刻,jat1 hak1
一剎,jat1 saat3
一剎那,jat1 saat3 naa5
一剎那,jat1 saat3 no4
一半天,jat1 bun3 tin1
一卡通,jat1 kaat1 tung1
一口,jat1 hau2
一口價,jat1 hau2 gaa3
一口氣,jat1 hau2 hei3
一句,jat1 geoi3
一名,jat1 ming4
一向,jat1 hoeng3
一命,jat1 ming6
一品紅,jat1 ban2 hung4
一員,jat1 jyun4
一哥,jat1 go1
一唔係,jat1 m4 hai6
一唱三嘆,jat1 coeng3 saam1 taan3
一嚿雲,jat1 gau6 wan4
一嚿飯,jat1 gau6 faan6
一回事,jat1 wui4 si6
一團,jat1 tyun4
一圖流,jat1 tou4 lau4
一團火,jat1 tyun4 fo2
一堆,jat1 deoi1
一場空,jat1 coeng4 hung1
一塊,jat1 faai3
一塊兒,jat1 faai3 ji4
一境,jat1 ging2
一壘,jat1 leoi5
一壘手,jat1 leoi5 sau2
一夜情,jat1 je6 cing4
一夥,jat1 fo2
一大截,jat1 daai6 zit6
一大早,jat1 daai6 zou2
一天,jat1 tin1
一夫一妻,jat1 fu1 jat1 cai1
一夫一妻制,jat1 fu1 jat1 cai1 zai3
一夫多妻,jat1 fu1 do1 cai1
一夫多妻制,jat1 fu1 do1 cai1 zai3
一字,jat1 zi6
一字批,jat1 zi6 pai1
一字眉,jat1 zi6 mei4
一字膊,jat1 zi6 bok3
一字領,jat1 zi6 leng5
一字馬,jat1 zi6 maa5
一家,jat1 gaa1
一家人,jat1 gaa1 jan4
一家子,jat1 gaa1 zi2
一審,jat1 sam2
一對,jat1 deoi3
一小撮,jat1 siu2 cyut3
一屁股,jat1 pei3 gu2
一層,jat1 cang4
一己,jat1 gei2
一席話,jat1 zik6 waa6
一帶,jat1 daai3
一年生,jat1 nin4 saang1
一度,jat1 dou6
一式,jat1 sik1
一念之間,jat1 nim6 zi1 gaan1
一成,jat1 sing4
一手,jat1 sau2
一打,jat1 daa1
一批,jat1 pai1
一把,jat1 baa2
一把好手,jat1 baa2 hou2 sau2
一把手,jat1 baa2 sau2
一排,jat1 paai4
一排,jat1 paa2
一支公,jat1 zi1 gung1
一斑,jat1 baan1
一方,jat1 fong1
一方面,jat1 fong1 min6
一旁,jat1 pong4
一族,jat1 zuk6
一日,jat1 jat6
一旦,jat1 daan3
一旦,jat1 daan6
一早,jat1 zou2
一昨,jat1 zok3
一時,jat1 si4
一時半會,jat1 si4 bun3 wui6
一時間,jat1 si4 gaan1
一晚,jat1 maan5
一會兒,jat1 wui6 ji4
一月,jat1 jyut6
一朝,jat1 ziu1
一期,jat1 kei4
一本,jat1 bun2
一枝黃花,jat1 zi1 wong4 faa1
一條心,jat1 tiu4 sam1
一條線,jat1 tiu4 sin3
一條龍,jat1 tiu4 lung4
一樓,jat1 lau2
一樓一,jat1 lau4 jat1
一樓一鳳,jat1 lau4 jat1 fung6
一次,jat1 ci3
一次函數,jat1 ci3 haam4 sou3
一次方程,jat1 ci3 fong1 cing4
一次方程式,jat1 ci3 fong1 cing4 sik1
一步,jat1 bou6
一氣,jat1 hei3
一氧化二氫,jat1 joeng5 faa3 ji6 hing1
一氧化二氮,jat1 joeng5 faa3 ji6 daam6
一氧化氮,jat1 joeng5 faa3 daam6
一氧化物,jat1 joeng5 faa3 mat6
一氧化硫,jat1 joeng5 faa3 lau4
一氧化碳,jat1 joeng5 faa3 taan3
一氧化鉛,jat1 joeng5 faa3 jyun4
一氯胺,jat1 luk6 on1
一池三山,jat1 ci4 saam1 saan1
一流,jat1 lau4
一清早,jat1 cing1 zou2
一片,jat1 pin3
一物,jat1 mat6
一生,jat1 sang1
一生人,jat1 sang1 jan4
一甲子,jat1 gaap3 zi2
一番,jat1 faan1
一盅兩件,jat1 zung1 loeng5 gin6
一目,jat1 muk6
一眼,jat1 ngaan5
一瞥,jat1 pit3
一瞬,jat1 seon3
一瞬間,jat1 seon3 gaan1
一碼事,jat1 maa5 si6
一神教,jat1 san4 gaau3
一神論,jat1 san4 leon6
一票,jat1 piu3
一種,jat1 zung2
一站式,jat1 zaam6 sik1
一端,jat1 dyun1
一等獎,jat1 dang2 zoeng2
一節,jat1 zit3
一簇,jat1 cuk1
一級結構,jat1 kap1 git3 kau3
一級醇,jat1 kap1 seon4
一絕,jat1 zyut6
一絲,jat1 si1
一線,jat1 sin3
一群,jat1 kwan4
一聲,jat1 seng1
一肚子,jat1 tou5 zi2
一股,jat1 gu2
一胎化,jat1 toi1 faa3
一致,jat1 zi3
一致性,jat1 zi3 sing3
一臺花,jat1 toi4 faa1
一舉,jat1 geoi2
一般人,jat1 bun1 jan4
一般性,jat1 bun1 sing3
一葉,jat1 jip6
一葦,jat1 wai5
一彪,jat1 biu1
一號,jat1 hou6
一號電池,jat1 hou6 din6 ci4
一行,jat1 hang4
一覽,jat1 laam5
一覽表,jat1 laam5 biu2
一角,jat1 gok3
一言,jat1 jin4
一言詩,jat1 jin4 si1
一路,jat1 lou6
一路人,jat1 lou6 jan4
一身,jat1 san1
一輩子,jat1 bui3 zi2
一週,jat1 zau1
一遍,jat1 pin3
一邊,jat1 bin1
一部,jat1 bou6
一部分,jat1 bou6 fan6
一鑊泡,jat1 wok6 pou5
一鑊粥,jat1 wok6 zuk1
一門,jat1 mun4
一閃念,jat1 sim2 nim6
一陣,jat1 zan6
一院制,jat1 jyun2 zai3
一陣子,jat1 zan6 zi2
一面,jat1 min6
一頭,jat1 tau4
一頭半個月,jat1 tau4 bun3 go3 jyut6
一頭熱,jat1 tau4 jit6
一類,jat1 leoi6
一體,jat1 tai2
一體機,jat1 tai2 gei1
一髮,jat1 faat3
一點,jat1 dim2
一點紅,jat1 dim2 hung4
一點點,jat1 dim2 dim2
一黨制,jat1 dong2 zai3
一黨專政,jat1 dong2 zyun1 zing3
丁,ding1
丂,haau2
七,cat1
丁丁,zaang1 zaang1
丁丁,ding1 ding1
丁丁糖,ding1 ding1 tong2
丁丑,ding1 cau2
七事,cat1 si6
丁二烯,ding1 ji6 hei1
丁二醇,ding1 ji6 seon4
丁亥,ding1 hoi6
七仔,cat1 zai2
丁克,ding1 hak1
丁克,ding1 haak3
丁克族,ding1 hak1 zuk6
丁卯,ding1 maau5
七和弦,cat1 wo4 jin4
七味粉,cat1 mei6 fan2
丁型肝炎,ding1 jing4 gon1 jim4
丁基,ding1 gei1
丁夜,ding1 je6
丁夫,ding1 fu1
七孔,cat1 hung2
丁字尺,ding1 zi6 cek3
丁字樑,ding1 zi6 loeng4
丁字步,ding1 zi6 bou6
丁字街口,ding1 zi6 gaai1 hau2
丁字褲,ding1 zi6 fu3
丁字路口,ding1 zi6 lou6 hau2
丁字鎬,ding1 zi6 gou2
七宗罪,cat1 zung1 zeoi6
丁寧,ding1 ning4
丁寵家庭,ding1 cung2 gaa1 ting4
七寶,cat1 bou2
七寶池,cat1 bou2 ci4
七對子,cat1 deoi3 zi2
丁屋,ding1 uk1
丁屎,ding1 si2
七巧板,cat1 haau2 baan2
丁巳,ding1 zi6
七彩,cat1 coi2
七彩虹,cat1 coi2 hung4
七律,cat1 leot6
七情,cat1 cing4
七星茶,cat1 sing1 caa4
七曜,cat1 jiu6
七月,cat1 jyut6
七月半,cat1 jyut6 bun3
丁未,ding1 mei6
丁權,ding1 kyun4
丁炔,ding1 kyut3
丁烯,ding1 hei1
丁烷,ding1 jyun4
丁烷,ding1 jyun2
丁男,ding1 naam4
七竅,cat1 hiu3
七級豬,cat1 kap1 zyu1
七絕,cat1 zyut6
七聲,cat1 seng1
七色,cat1 sik1
七角形,cat1 gok3 jing4
七言,cat1 jin4
七言律詩,cat1 jin4 leot6 si1
七言絕句,cat1 jin4 zyut6 geoi3
七言詩,cat1 jin4 si1
七連音,cat1 lin4 jam1
七邊形,cat1 bin1 jing4
丁酉,ding1 jau5
丁酮,ding1 tung4
丁酸,ding1 syun1
丁醇,ding1 seon4
丁醚,ding1 mai4
丁醛,ding1 cyun4
丁零,ding1 ling4
七音,cat1 jam1
七項全能,cat1 hong6 cyun4 nang4
丁香,ding1 hoeng1
丁香花,ding1 hoeng1 faa1
丁香魚,ding1 hoeng1 jyu2
丁骨,ding1 gwat1
丁骨牛排,ding1 gwat1 ngau4 paai4
七鰓鰻,cat1 soi1 maan4
丁點,ding1 dim2
七點,cat1 dim2
万,mak6
万,maak6
丈,zoeng6
上,soeng6
三P,saam1 pi1
三一頌,saam1 jat1 zung6
三七,saam1 cat1
上丁,soeng6 ding1
上下,soeng6 haa6
三三四學制,saam1 saam1 sei3 hok6 zai3
上下床,soeng6 haa6 cong4
上下文,soeng6 haa6 man4
三世,saam1 sai3
上世,soeng6 sai3
下世,haa6 sai3
下丘腦,haa6 jau1 nou5
上中農,soeng6 zung1 nung4
下中農,haa6 zung1 nung4
下中音,haa6 zung1 jam1
上主音,soeng6 zyu2 jam1
下主音,haa6 zyu2 jam1
上乘,soeng6 sing6
下乘,haa6 sing6
上五寸下五寸,soeng6 ng5 cyun3 haa6 ng5 cyun3
上京,soeng6 ging1
丈人,zoeng6 jan4
上人,soeng6 jan4
下人,haa6 jan4
丈人佬,zoeng6 jan4 lou2
丈人婆,zoeng6 jan4 po4
三人性交,saam1 jan4 sing3 gaau1
三仔,saam1 zai2
三代,saam1 doi6
上代,soeng6 doi6
三伏,saam1 fuk6
上任,soeng5 jam6
三伏天,saam1 fuk6 tin1
三件頭,saam1 gin6 tau2
上位,soeng6 wai6
下低,haa6 dai1
下作,haa6 zok3
三位一體,saam1 wai6 jat1 tai2
上低音號,soeng6 dai1 jam1 hou6
上便,soeng6 bin6
下便,haa6 bin6
三個代表,saam1 go3 doi6 biu2
三元,saam1 jyun4
三元牌,saam1 jyun4 paai2
上元節,soeng6 jyun4 zit3
三元音,saam1 jyun4 jam1
三兄,saam1 hing1
三光,saam1 gwong1
上光,soeng5 gwong1
三光政策,saam1 gwong1 zing3 caak3
上光機,soeng5 gwong1 gei1
上光蠟,soeng5 gwong1 laap6
三全音,saam1 cyun4 jam1
三八,saam1 baat3
三公,saam1 gung1
三六,saam1 luk6
三分,saam1 fan1
上分,soeng6 fan6
三分損益,saam1 fan1 syun2 jik1
三分損益法,saam1 fan1 syun2 jik1 faat3
三分波,saam1 fan1 bo1
三分鐘熱度,saam1 fan1 zung1 jit6 dou6
上刑,soeng5 jing4
上則,soeng6 zak1
三十二分音符,saam1 sap6 ji6 fan1 jam1 fu4
上午,soeng6 ng5
下午,haa6 ng5
上升期,soeng6 sing1 kei4
下午茶,haa6 ng5 caa4
上升角,soeng6 sing1 gok3
上半,soeng6 bun3
下半,haa6 bun3
上半場,soeng6 bun3 coeng4
下半場,haa6 bun3 coeng4
上半夜,soeng6 bun3 je6
下半夜,haa6 bun3 je6
上半天,soeng6 bun3 tin1
下半天,haa6 bun3 tin1
上半年,soeng6 bun3 nin4
下半年,haa6 bun3 nin4
上半截,soeng6 bun3 zit6
上半時,soeng6 bun3 si4
上半晌,soeng6 bun3 hoeng2
下半晌,haa6 bun3 hoeng2
下半晌兒,haa6 bun3 hoeng2 ji4
上半月,soeng6 bun3 jyut6
下半月,haa6 bun3 jyut6
下半生,haa6 bun3 sang1
上半身,soeng6 bun3 san1
下半身,haa6 bun3 san1
三叉戟,saam1 caa1 gik1
三叉神經,saam1 caa1 san4 ging1
三叉神經痛,saam1 caa1 san4 ging1 tung3
三叉神經節,saam1 caa1 san4 ging1 zit3
三叉神經線,saam1 caa1 san4 ging1 sin3
三叔,saam3 suk1
上口字,soeng5 hau2 zi6
上口齒,soeng6 hau2 ci2
三司,saam1 si1
上古,soeng6 gu2
上司,soeng6 si1
上古史,soeng6 gu2 si2
上古日語,soeng6 gu2 jat6 jyu5
上古漢語,soeng6 gu2 hon3 jyu5
三合元音,saam1 hap6 jyun4 jam1
三合土,saam1 hap6 tou2
三合會,saam1 hap6 wui2
三合板,saam1 hap6 baan2
三合院,saam1 hap6 jyun2
上味,soeng6 mei6
上呼吸道,soeng6 fu1 kap1 dou6
下呼吸道,haa6 fu1 kap1 dou6
三和弦,saam1 wo4 jin4
三味線,saam1 mei6 sin3
三味蒺藜散,saam1 mei6 zat6 lai4 saan2
上品,soeng6 ban2
下咽,haa6 jin1
下品,haa6 ban2
三哥,saam1 go1
三唑侖,saam1 zo6 leon4
上回,soeng6 wui4
下回,haa6 wui4
三國鼎立,saam1 gwok3 ding2 lap6
三國鼎立,saam1 gwok3 ding2 laap6
三圍,saam1 wai4
上圍,soeng6 wai4
下圍,haa6 wai4
上坡路,soeng5 bo1 lou6
下場,haa6 coeng4
上場門,soeng5 coeng4 mun4
上壓,soeng6 aat3
下壓,haa6 aat3
上壓力,soeng6 aat3 lik6
三壘,saam1 leoi5
上士,soeng6 si6
下士,haa6 si6
上壽,soeng6 sau6
三大件,saam1 daai6 gin6
丈夫,zoeng6 fu1
上天,soeng6 tin1
上夸克,soeng6 kwaa1 hak1
